id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
1432259,3092,NSE_FO:BANKNIFTY01APR2133800CE,2021-04-01 15:07:00,1,25,14.65,2021-04-01 15:09:00,0,25,8.20,161.25,44.03,163997.50,95.90,334997.50,-0.18
1432258,3092,NSE_FO:BANKNIFTY01APR2133800PE,2021-04-01 15:05:00,1,25,62.10,2021-04-01 15:07:00,0,25,47.30,370.00,23.83,163836.25,95.81,334836.25,-0.23
1432257,3092,NSE_FO:BANKNIFTY01APR2133800CE,2021-04-01 15:05:00,1,25,16.70,2021-04-01 15:07:00,0,25,14.65,51.25,12.28,163466.25,95.59,334466.25,-0.34
1432256,3092,NSE_FO:BANKNIFTY01APR2133800PE,2021-04-01 15:02:00,1,25,80.75,2021-04-01 15:05:00,0,25,62.10,466.25,23.10,163415.00,95.56,334415.00,-0.35
1432255,3092,NSE_FO:BANKNIFTY01APR2133800CE,2021-04-01 15:02:00,1,25,25.80,2021-04-01 15:05:00,0,25,16.70,227.50,35.27,162948.75,95.29,333948.75,-0.49
1432254,3092,NSE_FO:BANKNIFTY01APR2133700PE,2021-04-01 14:56:00,1,25,47.05,2021-04-01 15:02:00,0,25,26.00,526.25,44.74,162721.25,95.16,333721.25,-0.56
1432253,3092,NSE_FO:BANKNIFTY01APR2133700CE,2021-04-01 14:56:00,1,25,76.40,2021-04-01 15:02:00,0,25,70.30,152.50,7.98,162195.00,94.85,333195.00,-0.72
1432252,3092,NSE_FO:BANKNIFTY01APR2133700PE,2021-04-01 14:46:00,1,25,55.65,2021-04-01 14:56:00,0,25,47.05,215.00,15.45,162042.50,94.76,333042.50,-0.76
1432251,3092,NSE_FO:BANKNIFTY01APR2133700CE,2021-04-01 14:46:00,1,25,111.85,2021-04-01 14:56:00,0,25,76.40,886.25,31.69,161827.50,94.64,332827.50,-0.83
1432250,3092,NSE_FO:BANKNIFTY01APR2133700PE,2021-04-01 14:15:00,1,25,87.80,2021-04-01 14:46:00,0,25,55.65,803.75,36.62,160941.25,94.12,331941.25,-1.09
1432249,3092,NSE_FO:BANKNIFTY01APR2133700CE,2021-04-01 14:15:00,1,25,134.30,2021-04-01 14:46:00,0,25,111.85,561.25,16.72,160137.50,93.65,331137.50,-1.33
1432248,3092,NSE_FO:BANKNIFTY01APR2133300PE,2021-04-01 12:46:00,1,25,133.90,2021-04-01 14:15:00,0,25,11.40,3062.50,91.49,159576.25,93.32,330576.25,-1.50
1432247,3092,NSE_FO:BANKNIFTY01APR2133300CE,2021-04-01 12:46:00,1,25,167.00,2021-04-01 14:15:00,0,25,459.40,-7310.00,-175.09,156513.75,91.53,327513.75,-2.41
1432246,3092,NSE_FO:BANKNIFTY01APR2133500PE,2021-04-01 09:25:00,1,25,218.70,2021-04-01 12:46:00,0,25,250.00,-782.50,-14.31,163823.75,95.80,334823.75,-0.23
1432245,3092,NSE_FO:BANKNIFTY01APR2133500CE,2021-04-01 09:25:00,1,25,199.35,2021-04-01 12:46:00,0,25,84.20,2878.75,57.76,164606.25,96.26,335606.25,0.00
1432244,3092,NSE_FO:BANKNIFTY01APR2133500PE,2021-03-31 09:25:00,1,25,310.00,2021-03-31 15:09:00,0,25,370.00,-1500.00,-19.35,161727.50,94.58,332727.50,-0.45
1432243,3092,NSE_FO:BANKNIFTY01APR2133500CE,2021-03-31 09:25:00,1,25,374.90,2021-03-31 15:09:00,0,25,193.45,4536.25,48.40,163227.50,95.45,334227.50,0.00
1432242,3092,NSE_FO:BANKNIFTY01APR2133700PE,2021-03-30 09:25:00,1,25,451.45,2021-03-30 15:09:00,0,25,307.75,3592.50,31.83,158691.25,92.80,329691.25,-0.14
1432241,3092,NSE_FO:BANKNIFTY01APR2133700CE,2021-03-30 09:25:00,1,25,513.05,2021-03-30 15:09:00,0,25,481.70,783.75,6.11,155098.75,90.70,326098.75,-1.23
1432240,3092,NSE_FO:BANKNIFTY01APR2133400PE,2021-03-26 09:25:00,1,25,659.75,2021-03-26 15:09:00,0,25,572.25,2187.50,13.26,154315.00,90.24,325315.00,-1.46
1432239,3092,NSE_FO:BANKNIFTY01APR2133400CE,2021-03-26 09:25:00,1,25,659.75,2021-03-26 15:09:00,0,25,518.40,3533.75,21.42,152127.50,88.96,323127.50,-2.13
1432238,3092,NSE_FO:BANKNIFTY25MAR2133100PE,2021-03-25 15:07:00,1,25,36.45,2021-03-25 15:09:00,0,25,76.35,-997.50,-109.47,148593.75,86.90,319593.75,-3.20
1432237,3092,NSE_FO:BANKNIFTY25MAR2133100CE,2021-03-25 15:07:00,1,25,38.00,2021-03-25 15:09:00,0,25,12.15,646.25,68.03,149591.25,87.48,320591.25,-2.89
1432236,3092,NSE_FO:BANKNIFTY25MAR2133100PE,2021-03-25 15:05:00,1,25,54.50,2021-03-25 15:07:00,0,25,36.45,451.25,33.12,148945.00,87.10,319945.00,-3.09
1432235,3092,NSE_FO:BANKNIFTY25MAR2133100CE,2021-03-25 15:05:00,1,25,39.60,2021-03-25 15:07:00,0,25,38.00,40.00,4.04,148493.75,86.84,319493.75,-3.23
1432234,3092,NSE_FO:BANKNIFTY25MAR2133100PE,2021-03-25 15:04:00,1,25,56.55,2021-03-25 15:05:00,0,25,54.50,51.25,3.63,148453.75,86.82,319453.75,-3.24
1432233,3092,NSE_FO:BANKNIFTY25MAR2133100CE,2021-03-25 15:04:00,1,25,72.35,2021-03-25 15:05:00,0,25,39.60,818.75,45.27,148402.50,86.79,319402.50,-3.25
1432232,3092,NSE_FO:BANKNIFTY25MAR2133300PE,2021-03-25 14:58:00,1,25,50.55,2021-03-25 15:04:00,0,25,191.05,-3512.50,-277.94,147583.75,86.31,318583.75,-3.50
1432231,3092,NSE_FO:BANKNIFTY25MAR2133300CE,2021-03-25 14:58:00,1,25,84.00,2021-03-25 15:04:00,0,25,6.00,1950.00,92.86,151096.25,88.36,322096.25,-2.44
1432230,3092,NSE_FO:BANKNIFTY25MAR2133300PE,2021-03-25 14:45:00,1,25,54.20,2021-03-25 14:58:00,0,25,50.55,91.25,6.73,149146.25,87.22,320146.25,-3.03
1432229,3092,NSE_FO:BANKNIFTY25MAR2133300CE,2021-03-25 14:45:00,1,25,119.20,2021-03-25 14:58:00,0,25,84.00,880.00,29.53,149055.00,87.17,320055.00,-3.06
1432228,3092,NSE_FO:BANKNIFTY25MAR2133000PE,2021-03-25 14:28:00,1,25,100.00,2021-03-25 14:45:00,0,25,13.05,2173.75,86.95,148175.00,86.65,319175.00,-3.32
1432227,3092,NSE_FO:BANKNIFTY25MAR2133000CE,2021-03-25 14:28:00,1,25,123.30,2021-03-25 14:45:00,0,25,376.90,-6340.00,-205.68,146001.25,85.38,317001.25,-3.98
1432226,3092,NSE_FO:BANKNIFTY25MAR2133100PE,2021-03-25 13:58:00,1,25,130.10,2021-03-25 14:28:00,0,25,147.95,-446.25,-13.72,152341.25,89.09,323341.25,-2.06
1432225,3092,NSE_FO:BANKNIFTY25MAR2133100CE,2021-03-25 13:58:00,1,25,145.25,2021-03-25 14:28:00,0,25,72.15,1827.50,50.33,152787.50,89.35,323787.50,-1.93
1432224,3092,NSE_FO:BANKNIFTY25MAR2133200PE,2021-03-25 13:44:00,1,25,181.85,2021-03-25 13:58:00,0,25,182.85,-25.00,-0.55,150960.00,88.28,321960.00,-2.48
1432223,3092,NSE_FO:BANKNIFTY25MAR2133200CE,2021-03-25 13:44:00,1,25,160.40,2021-03-25 13:58:00,0,25,98.85,1538.75,38.37,150985.00,88.30,321985.00,-2.47
1432222,3092,NSE_FO:BANKNIFTY25MAR2132800PE,2021-03-25 13:30:00,1,25,120.50,2021-03-25 13:44:00,0,25,51.20,1732.50,57.51,149446.25,87.40,320446.25,-2.94
1432221,3092,NSE_FO:BANKNIFTY25MAR2132800CE,2021-03-25 13:30:00,1,25,161.60,2021-03-25 13:44:00,0,25,431.45,-6746.25,-166.99,147713.75,86.38,318713.75,-3.46
1432220,3092,NSE_FO:BANKNIFTY25MAR2133000PE,2021-03-25 09:25:00,1,25,215.00,2021-03-25 13:30:00,0,25,242.40,-685.00,-12.74,154460.00,90.33,325460.00,-1.42
1432219,3092,NSE_FO:BANKNIFTY25MAR2133000CE,2021-03-25 09:25:00,1,25,247.25,2021-03-25 13:30:00,0,25,80.05,4180.00,67.62,155145.00,90.73,326145.00,-1.21
1432218,3092,NSE_FO:BANKNIFTY25MAR2133900PE,2021-03-24 09:25:00,1,25,346.65,2021-03-24 15:09:00,0,25,674.00,-8183.75,-94.43,150965.00,88.28,321965.00,-2.48
1432217,3092,NSE_FO:BANKNIFTY25MAR2133900CE,2021-03-24 09:25:00,1,25,353.10,2021-03-24 15:09:00,0,25,77.10,6900.00,78.16,159148.75,93.07,330148.75,0.00
1432216,3092,NSE_FO:BANKNIFTY25MAR2133900PE,2021-03-23 09:25:00,1,25,493.15,2021-03-23 15:09:00,0,25,248.50,6116.25,49.61,152248.75,89.03,323248.75,0.00
1432215,3092,NSE_FO:BANKNIFTY25MAR2133900CE,2021-03-23 09:25:00,1,25,491.60,2021-03-23 15:09:00,0,25,565.50,-1847.50,-15.03,146132.50,85.46,317132.50,-1.34
1432214,3092,NSE_FO:BANKNIFTY25MAR2133800PE,2021-03-22 09:25:00,1,25,542.00,2021-03-22 15:09:00,0,25,592.50,-1262.50,-9.32,147980.00,86.54,318980.00,-0.76
1432213,3092,NSE_FO:BANKNIFTY25MAR2133800CE,2021-03-22 09:25:00,1,25,589.35,2021-03-22 15:09:00,0,25,409.10,4506.25,30.58,149242.50,87.28,320242.50,-0.37
1432212,3092,NSE_FO:BANKNIFTY25MAR2133600PE,2021-03-19 09:25:00,1,25,660.80,2021-03-19 15:09:00,0,25,313.15,8691.25,52.61,144736.25,84.64,315736.25,-1.77
1432211,3092,NSE_FO:BANKNIFTY25MAR2133600CE,2021-03-19 09:25:00,1,25,685.50,2021-03-19 15:09:00,0,25,1019.45,-8348.75,-48.72,136045.00,79.56,307045.00,-4.47
1432210,3092,NSE_FO:BANKNIFTY18MAR2133700PE,2021-03-18 15:03:00,1,25,19.75,2021-03-18 15:09:00,0,25,3.80,398.75,80.76,144393.75,84.44,315393.75,-1.88
1432209,3092,NSE_FO:BANKNIFTY18MAR2133700CE,2021-03-18 15:03:00,1,25,49.95,2021-03-18 15:09:00,0,25,73.40,-586.25,-46.95,143995.00,84.21,314995.00,-2.00
1432208,3092,NSE_FO:BANKNIFTY18MAR2133700PE,2021-03-18 15:02:00,1,25,51.95,2021-03-18 15:03:00,0,25,19.75,805.00,61.98,144581.25,84.55,315581.25,-1.82
1432207,3092,NSE_FO:BANKNIFTY18MAR2133700CE,2021-03-18 15:02:00,1,25,41.20,2021-03-18 15:03:00,0,25,49.95,-218.75,-21.24,143776.25,84.08,314776.25,-2.07
1432206,3092,NSE_FO:BANKNIFTY18MAR2133800PE,2021-03-18 14:50:00,1,25,60.40,2021-03-18 15:02:00,0,25,98.10,-942.50,-62.42,143995.00,84.21,314995.00,-2.00
1432205,3092,NSE_FO:BANKNIFTY18MAR2133800CE,2021-03-18 14:50:00,1,25,52.50,2021-03-18 15:02:00,0,25,9.20,1082.50,82.48,144937.50,84.76,315937.50,-1.71
1432204,3092,NSE_FO:BANKNIFTY18MAR2133800PE,2021-03-18 14:43:00,1,25,58.90,2021-03-18 14:50:00,0,25,60.40,-37.50,-2.55,143855.00,84.13,314855.00,-2.04
1432203,3092,NSE_FO:BANKNIFTY18MAR2133800CE,2021-03-18 14:43:00,1,25,84.20,2021-03-18 14:50:00,0,25,52.50,792.50,37.65,143892.50,84.15,314892.50,-2.03
1432202,3092,NSE_FO:BANKNIFTY18MAR2133800PE,2021-03-18 14:32:00,1,25,85.10,2021-03-18 14:43:00,0,25,58.90,655.00,30.79,143100.00,83.68,314100.00,-2.28
1432201,3092,NSE_FO:BANKNIFTY18MAR2133800CE,2021-03-18 14:32:00,1,25,97.25,2021-03-18 14:43:00,0,25,84.20,326.25,13.42,142445.00,83.30,313445.00,-2.48
1432200,3092,NSE_FO:BANKNIFTY18MAR2134000PE,2021-03-18 13:17:00,1,25,128.00,2021-03-18 14:32:00,0,25,211.20,-2080.00,-65.00,142118.75,83.11,313118.75,-2.58
1432199,3092,NSE_FO:BANKNIFTY18MAR2134000CE,2021-03-18 13:17:00,1,25,168.45,2021-03-18 14:32:00,0,25,23.85,3615.00,85.84,144198.75,84.33,315198.75,-1.94
1432198,3092,NSE_FO:BANKNIFTY18MAR2134500PE,2021-03-18 12:39:00,1,25,114.85,2021-03-18 13:17:00,0,25,484.25,-9235.00,-321.64,140583.75,82.21,311583.75,-3.06
